Type;VSE;
0.32003208994865417;0.95983731746673584
-0.95878022909164429;-0.95732110738754272
0.31913813948631287;0.95810782909393311
0.95916759967803955;0.31890174746513367
-0.31821349263191223;-0.31715592741966248
0.31923574209213257;-0.31778582930564880
0.31998533010482788;0.95830595493316650
0.32061529159545898;0.95949929952621460
-0.95749670267105103;0.95691531896591187
0.32048019766807556;0.95947182178497314
-0.31952014565467834;0.95793896913528442
0.31841713190078735;-0.31890955567359924
-0.31900092959403992;-0.95911782979965210
-0.95769220590591431;0.32122865319252014
-0.31931746006011963;0.95801198482513428
0.31919580698013306;0.95891761779785156
-0.31843450665473938;0.31909221410751343
0.32009658217430115;-0.95791214704513550
-0.95808774232864380;-0.95866018533706665
-0.95712882280349731;-0.95674467086791992
-0.31885528564453125;0.31984874606132507
-0.95833414793014526;-0.95921385288238525
0.95862883329391479;0.31790250539779663
0.32115119695663452;0.95800960063934326
-0.31908345222473145;-0.95734149217605591
0.95891398191452026;0.95656210184097290
0.31977626681327820;0.31871914863586426
-0.31700107455253601;0.95752191543579102
0.31919661164283752;-0.95983338356018066
-0.31908482313156128;-0.31975165009498596
0.31992492079734802;0.31989312171936035
-0.32009312510490417;-0.31907051801681519
0.96026635169982910;0.95989954471588135
0.95771366357803345;-0.32115122675895691
0.32060390710830688;0.95735287666320801
-0.31755450367927551;0.32114204764366150
-0.32008296251296997;-0.95776379108428955
0.95738703012466431;-0.96018648147583008
-0.95604628324508667;-0.95711833238601685
0.31701478362083435;-0.31929650902748108
0.31965711712837219;0.31914851069450378
0.95594358444213867;0.95669221878051758
0.96046149730682373;-0.32044941186904907
0.95809191465377808;-0.31949031352996826
0.95649409294128418;0.95833891630172729
-0.31922996044158936;0.95764189958572388
0.95858520269393921;-0.31994268298149109
-0.31986024975776672;-0.31946894526481628
-0.31943386793136597;0.95736873149871826
-0.95804947614669800;0.95928728580474854
0.95827722549438477;0.32118624448776245
0.31723138689994812;0.31818023324012756
0.31923234462738037;0.95768052339553833
0.31884092092514038;-0.95954686403274536
-0.32063651084899902;-0.31996038556098938
-0.31927886605262756;-0.31930610537528992
-0.95781153440475464;0.31881773471832275
-0.32061305642127991;0.31909233331680298
0.95689517259597778;0.95826828479766846
-0.32137775421142578;0.95802682638168335
0.32036790251731873;0.31748089194297791
-0.32090711593627930;-0.95796543359756470
0.31838145852088928;0.95703637599945068
-0.95901113748550415;-0.95846444368362427
0.31891995668411255;0.31868129968643188
